,case,event,time:timestamp,Column_4,role,case:creator
154,End,start,2011-12-01 01:34:27+01:00,End,32,Fluxicon Disco
155,End,complete,2011-12-01 01:34:27+01:00,End,32,Fluxicon Disco
156,Start,start,2011-11-30 14:37:00+01:00,Start,42,Fluxicon Disco
157,Start,complete,2011-11-30 14:37:00+01:00,Start,42,Fluxicon Disco
158,eatingLunch,start,2011-11-30 14:37:00+01:00,eatingLunch,42,Fluxicon Disco
159,eatingLunch,complete,2011-11-30 15:08:00+01:00,eatingLunch,42,Fluxicon Disco
160,sleeping,start,2011-12-01 01:37:52+01:00,sleeping,42,Fluxicon Disco
161,sleeping,complete,2011-12-01 10:50:45+01:00,sleeping,42,Fluxicon Disco
162,washing,start,2011-12-01 10:55:03+01:00,washing,42,Fluxicon Disco
163,washing,complete,2011-12-01 10:55:25+01:00,washing,42,Fluxicon Disco
164,shower,start,2011-12-01 10:58:37+01:00,shower,42,Fluxicon Disco
165,shower,complete,2011-12-01 11:12:22+01:00,shower,42,Fluxicon Disco
166,prepareBreakfast,start,2011-12-01 11:17:05+01:00,prepareBreakfast,42,Fluxicon Disco
167,prepareBreakfast,complete,2011-12-01 11:19:43+01:00,prepareBreakfast,42,Fluxicon Disco
168,eatingBreakfast,start,2011-12-01 11:20:05+01:00,eatingBreakfast,42,Fluxicon Disco
169,eatingBreakfast,complete,2011-12-01 11:29:43+01:00,eatingBreakfast,42,Fluxicon Disco
170,watchingtv,start,2011-12-01 11:30:06+01:00,watchingtv,42,Fluxicon Disco
171,watchingtv,complete,2011-12-01 14:29:02+01:00,watchingtv,42,Fluxicon Disco
172,prepareLunch,start,2011-12-01 14:29:37+01:00,prepareLunch,42,Fluxicon Disco
173,prepareLunch,complete,2011-12-01 14:36:38+01:00,prepareLunch,42,Fluxicon Disco
174,watchingtv,start,2011-12-01 15:09:00+01:00,watchingtv,42,Fluxicon Disco
175,watchingtv,complete,2011-12-01 16:26:17+01:00,watchingtv,42,Fluxicon Disco
176,toilet,start,2011-12-01 16:26:35+01:00,toilet,42,Fluxicon Disco
177,washing,start,2011-12-01 16:26:36+01:00,washing,42,Fluxicon Disco
178,toilet,complete,2011-12-01 16:27:04+01:00,toilet,42,Fluxicon Disco
179,washing,complete,2011-12-01 17:27:13+01:00,washing,42,Fluxicon Disco
180,outdoors,start,2011-12-01 17:29:29+01:00,outdoors,42,Fluxicon Disco
181,outdoors,complete,2011-12-01 18:54:56+01:00,outdoors,42,Fluxicon Disco
182,watchingtv,start,2011-12-01 18:55:03+01:00,watchingtv,42,Fluxicon Disco
183,watchingtv,complete,2011-12-01 19:10:34+01:00,watchingtv,42,Fluxicon Disco
184,toilet,start,2011-12-01 19:28:51+01:00,toilet,42,Fluxicon Disco
185,watchingtv,start,2011-12-01 19:29:13+01:00,watchingtv,42,Fluxicon Disco
186,toilet,complete,2011-12-01 19:29:17+01:00,toilet,42,Fluxicon Disco
187,watchingtv,complete,2011-12-01 23:52:52+01:00,watchingtv,42,Fluxicon Disco
188,washing,start,2011-12-01 23:53:00+01:00,washing,42,Fluxicon Disco
189,washing,complete,2011-12-01 23:53:28+01:00,washing,42,Fluxicon Disco
190,watchingtv,start,2011-12-01 23:54:32+01:00,watchingtv,42,Fluxicon Disco
191,watchingtv,complete,2011-12-02 01:18:32+01:00,watchingtv,42,Fluxicon Disco
192,End,start,2011-12-02 01:18:32+01:00,End,42,Fluxicon Disco
193,End,complete,2011-12-02 01:18:32+01:00,End,42,Fluxicon Disco
194,Start,start,2011-12-02 01:18:44+01:00,Start,52,Fluxicon Disco
195,Start,complete,2011-12-02 01:18:44+01:00,Start,52,Fluxicon Disco
196,washing,start,2011-12-02 01:18:44+01:00,washing,52,Fluxicon Disco
197,washing,complete,2011-12-02 01:18:57+01:00,washing,52,Fluxicon Disco
198,watchingtv,start,2011-12-02 01:19:09+01:00,watchingtv,52,Fluxicon Disco
199,watchingtv,complete,2011-12-02 02:08:17+01:00,watchingtv,52,Fluxicon Disco
200,washing,start,2011-12-02 02:09:33+01:00,washing,52,Fluxicon Disco
201,washing,complete,2011-12-02 02:13:56+01:00,washing,52,Fluxicon Disco
202,sleeping,start,2011-12-02 02:15:55+01:00,sleeping,52,Fluxicon Disco
203,sleeping,complete,2011-12-02 12:15:19+01:00,sleeping,52,Fluxicon Disco
204,toilet,start,2011-12-02 12:20:40+01:00,toilet,52,Fluxicon Disco
205,washing,start,2011-12-02 12:20:41+01:00,washing,52,Fluxicon Disco
206,washing,complete,2011-12-02 12:20:46+01:00,washing,52,Fluxicon Disco
207,toilet,complete,2011-12-02 12:21:09+01:00,toilet,52,Fluxicon Disco
208,shower,start,2011-12-02 12:21:19+01:00,shower,52,Fluxicon Disco
209,shower,complete,2011-12-02 12:25:40+01:00,shower,52,Fluxicon Disco
210,prepareBreakfast,start,2011-12-02 12:29:08+01:00,prepareBreakfast,52,Fluxicon Disco
211,prepareBreakfast,complete,2011-12-02 12:31:10+01:00,prepareBreakfast,52,Fluxicon Disco
212,eatingBreakfast,start,2011-12-02 12:32:08+01:00,eatingBreakfast,52,Fluxicon Disco
213,eatingBreakfast,complete,2011-12-02 12:37:10+01:00,eatingBreakfast,52,Fluxicon Disco
214,watchingtv,start,2011-12-02 12:37:47+01:00,watchingtv,52,Fluxicon Disco
215,watchingtv,complete,2011-12-02 14:46:29+01:00,watchingtv,52,Fluxicon Disco
216,prepareLunch,start,2011-12-02 14:47:18+01:00,prepareLunch,52,Fluxicon Disco
217,prepareLunch,complete,2011-12-02 14:50:19+01:00,prepareLunch,52,Fluxicon Disco
218,eatingLunch,start,2011-12-02 14:51:00+01:00,eatingLunch,52,Fluxicon Disco
219,eatingLunch,complete,2011-12-02 15:24:00+01:00,eatingLunch,52,Fluxicon Disco
220,watchingtv,start,2011-12-02 15:24:05+01:00,watchingtv,52,Fluxicon Disco
221,watchingtv,complete,2011-12-02 15:55:12+01:00,watchingtv,52,Fluxicon Disco
222,washing,start,2011-12-02 15:56:02+01:00,washing,52,Fluxicon Disco
223,washing,complete,2011-12-02 15:57:55+01:00,washing,52,Fluxicon Disco
224,watchingtv,start,2011-12-02 15:57:56+01:00,watchingtv,52,Fluxicon Disco
225,watchingtv,complete,2011-12-02 16:36:05+01:00,watchingtv,52,Fluxicon Disco
226,toilet,start,2011-12-02 16:47:27+01:00,toilet,52,Fluxicon Disco
227,watchingtv,start,2011-12-02 16:47:39+01:00,watchingtv,52,Fluxicon Disco
228,toilet,complete,2011-12-02 16:47:55+01:00,toilet,52,Fluxicon Disco
229,watchingtv,complete,2011-12-02 19:39:08+01:00,watchingtv,52,Fluxicon Disco
230,snack,start,2011-12-02 19:40:44+01:00,snack,52,Fluxicon Disco
231,snack,complete,2011-12-02 19:40:50+01:00,snack,52,Fluxicon Disco
232,watchingtv,start,2011-12-02 19:41:14+01:00,watchingtv,52,Fluxicon Disco
233,watchingtv,complete,2011-12-02 21:26:09+01:00,watchingtv,52,Fluxicon Disco
234,toilet,start,2011-12-02 21:44:37+01:00,toilet,52,Fluxicon Disco
235,toilet,complete,2011-12-02 21:45:03+01:00,toilet,52,Fluxicon Disco
236,watchingtv,start,2011-12-02 21:46:31+01:00,watchingtv,52,Fluxicon Disco
237,watchingtv,complete,2011-12-03 01:41:08+01:00,watchingtv,52,Fluxicon Disco
238,End,start,2011-12-03 01:41:08+01:00,End,52,Fluxicon Disco
239,End,complete,2011-12-03 01:41:08+01:00,End,52,Fluxicon Disco
240,Start,start,2011-12-05 01:31:34+01:00,Start,82,Fluxicon Disco
241,Start,complete,2011-12-05 01:31:34+01:00,Start,82,Fluxicon Disco
242,washing,start,2011-12-05 01:31:34+01:00,washing,82,Fluxicon Disco
243,washing,complete,2011-12-05 01:31:39+01:00,washing,82,Fluxicon Disco
244,sleeping,start,2011-12-05 01:35:10+01:00,sleeping,82,Fluxicon Disco
245,sleeping,complete,2011-12-05 11:48:55+01:00,sleeping,82,Fluxicon Disco
246,toilet,start,2011-12-05 11:53:01+01:00,toilet,82,Fluxicon Disco
247,toilet,complete,2011-12-05 11:53:31+01:00,toilet,82,Fluxicon Disco
248,washing,start,2011-12-05 11:57:47+01:00,washing,82,Fluxicon Disco
249,washing,complete,2011-12-05 11:57:55+01:00,washing,82,Fluxicon Disco
250,shower,start,2011-12-05 12:01:23+01:00,shower,82,Fluxicon Disco
251,shower,complete,2011-12-05 12:08:56+01:00,shower,82,Fluxicon Disco
252,watchingtv,start,2011-12-05 12:10:06+01:00,watchingtv,82,Fluxicon Disco
253,watchingtv,complete,2011-12-05 12:14:19+01:00,watchingtv,82,Fluxicon Disco
254,prepareBreakfast,start,2011-12-05 12:15:45+01:00,prepareBreakfast,82,Fluxicon Disco
255,prepareBreakfast,complete,2011-12-05 12:17:58+01:00,prepareBreakfast,82,Fluxicon Disco
256,eatingBreakfast,start,2011-12-05 12:18:05+01:00,eatingBreakfast,82,Fluxicon Disco
257,eatingBreakfast,complete,2011-12-05 12:26:02+01:00,eatingBreakfast,82,Fluxicon Disco
258,watchingtv,start,2011-12-05 12:26:37+01:00,watchingtv,82,Fluxicon Disco
259,watchingtv,complete,2011-12-05 14:26:46+01:00,watchingtv,82,Fluxicon Disco
260,washing,start,2011-12-05 14:28:36+01:00,washing,82,Fluxicon Disco
261,washing,complete,2011-12-05 14:28:42+01:00,washing,82,Fluxicon Disco
262,outdoors,start,2011-12-05 14:38:07+01:00,outdoors,82,Fluxicon Disco
263,outdoors,complete,2011-12-05 14:55:06+01:00,outdoors,82,Fluxicon Disco
264,prepareLunch,start,2011-12-05 15:00:55+01:00,prepareLunch,82,Fluxicon Disco
265,prepareLunch,complete,2011-12-05 15:13:55+01:00,prepareLunch,82,Fluxicon Disco
266,eatingLunch,start,2011-12-05 15:14:00+01:00,eatingLunch,82,Fluxicon Disco
267,eatingLunch,complete,2011-12-05 15:42:00+01:00,eatingLunch,82,Fluxicon Disco
268,washing,start,2011-12-05 15:42:25+01:00,washing,82,Fluxicon Disco
269,washing,complete,2011-12-05 15:44:05+01:00,washing,82,Fluxicon Disco
270,toilet,start,2011-12-05 15:44:16+01:00,toilet,82,Fluxicon Disco
271,watchingtv,start,2011-12-05 15:44:56+01:00,watchingtv,82,Fluxicon Disco
272,toilet,complete,2011-12-05 15:45:09+01:00,toilet,82,Fluxicon Disco
273,watchingtv,complete,2011-12-05 16:02:10+01:00,watchingtv,82,Fluxicon Disco
274,toilet,start,2011-12-05 16:36:32+01:00,toilet,82,Fluxicon Disco
275,toilet,complete,2011-12-05 16:37:00+01:00,toilet,82,Fluxicon Disco
276,watchingtv,start,2011-12-05 16:37:15+01:00,watchingtv,82,Fluxicon Disco
277,watchingtv,complete,2011-12-05 17:14:32+01:00,watchingtv,82,Fluxicon Disco
278,outdoors,start,2011-12-05 17:17:07+01:00,outdoors,82,Fluxicon Disco
279,outdoors,complete,2011-12-05 18:57:16+01:00,outdoors,82,Fluxicon Disco
280,watchingtv,start,2011-12-05 19:01:42+01:00,watchingtv,82,Fluxicon Disco
281,watchingtv,complete,2011-12-05 19:24:02+01:00,watchingtv,82,Fluxicon Disco
282,snack,start,2011-12-05 19:24:11+01:00,snack,82,Fluxicon Disco
283,snack,complete,2011-12-05 19:24:16+01:00,snack,82,Fluxicon Disco
284,watchingtv,start,2011-12-05 19:24:22+01:00,watchingtv,82,Fluxicon Disco
285,watchingtv,complete,2011-12-05 20:07:19+01:00,watchingtv,82,Fluxicon Disco
286,washing,start,2011-12-05 20:07:32+01:00,washing,82,Fluxicon Disco
287,washing,complete,2011-12-05 20:07:47+01:00,washing,82,Fluxicon Disco
288,toilet,start,2011-12-05 20:08:52+01:00,toilet,82,Fluxicon Disco
289,toilet,complete,2011-12-05 20:09:19+01:00,toilet,82,Fluxicon Disco
290,watchingtv,start,2011-12-05 20:20:20+01:00,watchingtv,82,Fluxicon Disco
291,watchingtv,complete,2011-12-05 21:06:25+01:00,watchingtv,82,Fluxicon Disco
292,washing,start,2011-12-05 21:06:35+01:00,washing,82,Fluxicon Disco
293,washing,complete,2011-12-05 21:06:41+01:00,washing,82,Fluxicon Disco
294,toilet,start,2011-12-05 21:06:43+01:00,toilet,82,Fluxicon Disco
295,washing,start,2011-12-05 21:06:44+01:00,washing,82,Fluxicon Disco
296,washing,complete,2011-12-05 21:07:00+01:00,washing,82,Fluxicon Disco
297,toilet,complete,2011-12-05 21:07:08+01:00,toilet,82,Fluxicon Disco
298,watchingtv,start,2011-12-05 21:07:14+01:00,watchingtv,82,Fluxicon Disco
299,watchingtv,complete,2011-12-06 00:38:24+01:00,watchingtv,82,Fluxicon Disco
300,End,start,2011-12-06 00:38:24+01:00,End,82,Fluxicon Disco
301,End,complete,2011-12-06 00:38:24+01:00,End,82,Fluxicon Disco
302,Start,start,2011-12-06 00:39:56+01:00,Start,92,Fluxicon Disco
303,Start,complete,2011-12-06 00:39:56+01:00,Start,92,Fluxicon Disco
304,toilet,start,2011-12-06 00:39:56+01:00,toilet,92,Fluxicon Disco
305,toilet,complete,2011-12-06 00:40:23+01:00,toilet,92,Fluxicon Disco
306,washing,start,2011-12-06 00:40:35+01:00,washing,92,Fluxicon Disco
307,washing,complete,2011-12-06 00:40:41+01:00,washing,92,Fluxicon Disco
308,sleeping,start,2011-12-06 00:42:37+01:00,sleeping,92,Fluxicon Disco
309,sleeping,complete,2011-12-06 10:07:20+01:00,sleeping,92,Fluxicon Disco
310,toilet,start,2011-12-06 11:08:53+01:00,toilet,92,Fluxicon Disco
311,toilet,complete,2011-12-06 11:09:26+01:00,toilet,92,Fluxicon Disco
312,washing,start,2011-12-06 11:09:49+01:00,washing,92,Fluxicon Disco
313,washing,complete,2011-12-06 11:11:45+01:00,washing,92,Fluxicon Disco
314,shower,start,2011-12-06 11:12:19+01:00,shower,92,Fluxicon Disco
315,shower,complete,2011-12-06 11:25:57+01:00,shower,92,Fluxicon Disco
316,prepareBreakfast,start,2011-12-06 11:30:19+01:00,prepareBreakfast,92,Fluxicon Disco
317,prepareBreakfast,complete,2011-12-06 11:32:49+01:00,prepareBreakfast,92,Fluxicon Disco
318,eatingBreakfast,start,2011-12-06 11:33:02+01:00,eatingBreakfast,92,Fluxicon Disco
319,eatingBreakfast,complete,2011-12-06 11:38:51+01:00,eatingBreakfast,92,Fluxicon Disco
320,watchingtv,start,2011-12-06 11:39:34+01:00,watchingtv,92,Fluxicon Disco
321,watchingtv,complete,2011-12-06 14:37:50+01:00,watchingtv,92,Fluxicon Disco
322,prepareLunch,start,2011-12-06 14:41:16+01:00,prepareLunch,92,Fluxicon Disco
